Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,18207.1396408631
Latvia,LVA,Population growth (annual %),SP.POP.GROW,-0.701211570733301
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,157754.954373893
Liechtenstein,LIE,Population growth (annual %),SP.POP.GROW,0.709498302393315
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,20339.5212699052
Lithuania,LTU,Population growth (annual %),SP.POP.GROW,0.0267667582795671
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,117370.496900162
Luxembourg,LUX,Population growth (annual %),SP.POP.GROW,1.66635867423273
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,28977.5655673636
Malta,MLT,Population growth (annual %),SP.POP.GROW,2.21120767752363
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,4500.62446389838
Moldova,MDA,Population growth (annual %),SP.POP.GROW,-1.09803165876287
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,182538.638340211
Monaco,MCO,Population growth (annual %),SP.POP.GROW,-0.302883026724653
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,7677.15222569996
Montenegro,MNE,Population growth (annual %),SP.POP.GROW,-0.116139360968958
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,52162.5701150406
Netherlands,NLD,Population growth (annual %),SP.POP.GROW,0.55554079025497
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,5965.45023195365
North Macedonia,MKD,Population growth (annual %),SP.POP.GROW,-0.200664046750733
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,67329.6777910967
Norway,NOR,Population growth (annual %),SP.POP.GROW,0.588757324043059
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,15816.989398397
Poland,POL,Population growth (annual %),SP.POP.GROW,-0.175062058196296
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,22242.406417972
Portugal,PRT,Population growth (annual %),SP.POP.GROW,0.10511412524675
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,10169.0869140625
Russian Federation,RUS,Population growth (annual %),SP.POP.GROW,-0.230950388878624
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,13047.4320617591
Romania,ROU,Population growth (annual %),SP.POP.GROW,-0.550759892541776
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,45320.2087156066
San Marino,SMR,Population growth (annual %),SP.POP.GROW,-0.501577644647767
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,7733.80286920471
Serbia,SRB,Population growth (annual %),SP.POP.GROW,-0.666107601320794
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,25545.2410027136
Slovenia,SVN,Population growth (annual %),SP.POP.GROW,0.669754656164979
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,26959.6754367326
Spain,ESP,Population growth (annual %),SP.POP.GROW,0.488502131838585
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,52837.9039778149
Sweden,SWE,Population growth (annual %),SP.POP.GROW,0.722703912882934
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,85656.322666307
Switzerland,CHE,Population growth (annual %),SP.POP.GROW,0.730676195047382
Turkiye,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,8561.07094781987
Turkiye,TUR,Population growth (annual %),SP.POP.GROW,0.780048417598582
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,3751.74072265625
Ukraine,UKR,Population growth (annual %),SP.POP.GROW,-0.574242470135943
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,40318.5575660493
United Kingdom,GBR,Population growth (annual %),SP.POP.GROW,0.365409432414506
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,19545.7428171932
Slovak Republic,SVK,Population growth (annual %),SP.POP.GROW,0.0857694756149868
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 03/01/2023,,,,
