Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Greece,GRC,Population growth (annual %),SP.POP.GROW,-0.214592106571664
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,157182045260.23
Hungary,HUN,Population growth (annual %),SP.POP.GROW,-0.215067837129585
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,21694674809.9321
Iceland,ISL,Population growth (annual %),SP.POP.GROW,1.6230862512591
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,425852281928.121
Ireland,IRL,Population growth (annual %),SP.POP.GROW,1.02911050277336
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,171082379532.988
Kazakhstan,KAZ,Population growth (annual %),SP.POP.GROW,1.29863532544565
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,34601740323.3386
Latvia,LVA,Population growth (annual %),SP.POP.GROW,-0.701211570733301
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,6113951011.71459
Liechtenstein,LIE,Population growth (annual %),SP.POP.GROW,0.709498302393315
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,73992591285.3029
Luxembourg,LUX,Population growth (annual %),SP.POP.GROW,1.66635867423273
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,14933066818.9606
Malta,MLT,Population growth (annual %),SP.POP.GROW,2.21120767752363
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,6739691604.79726
Monaco,MCO,Population growth (annual %),SP.POP.GROW,-0.302883026724653
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,4769860740.74074
Montenegro,MNE,Population growth (annual %),SP.POP.GROW,-0.116139360968958
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,12363580534.6811
North Macedonia,MKD,Population growth (annual %),SP.POP.GROW,-0.200664046750733
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,362198318435.26
Norway,NOR,Population growth (annual %),SP.POP.GROW,0.588757324043059
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,599449188399.108
Poland,POL,Population growth (annual %),SP.POP.GROW,-0.175062058196296
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,229031860520.777
Portugal,PRT,Population growth (annual %),SP.POP.GROW,0.10511412524675
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,251362040527.804
Romania,ROU,Population growth (annual %),SP.POP.GROW,-0.550759892541776
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1489362488439.76
Russian Federation,RUS,Population growth (annual %),SP.POP.GROW,-0.230950388878624
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,1541204337.79164
San Marino,SMR,Population growth (annual %),SP.POP.GROW,-0.501577644647767
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,53356480453.8048
Serbia,SRB,Population growth (annual %),SP.POP.GROW,-0.666107601320794
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,106696828625.55
Slovak Republic,SVK,Population growth (annual %),SP.POP.GROW,0.0857694756149868
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,53706800043.6842
Slovenia,SVN,Population growth (annual %),SP.POP.GROW,0.669754656164979
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,547054174235.876
Sweden,SWE,Population growth (annual %),SP.POP.GROW,0.722703912882934
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,156617861448.576
Ukraine,UKR,Population growth (annual %),SP.POP.GROW,-0.574242470135943
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2704609160088.15
United Kingdom,GBR,Population growth (annual %),SP.POP.GROW,0.365409432414506
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,56846622904.4391
Lithuania,LTU,Population growth (annual %),SP.POP.GROW,0.0267667582795671
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,11859730543.5525
Moldova,MDA,Population growth (annual %),SP.POP.GROW,-1.09803165876287
