"","Extraversion","logsalary","BetterLife","JobSat"
"42","In real life (in person)",NA,"No","Very satisfied"
"43","In real life (in person)",11.4075649604235,"No","Slightly satisfied"
"44","Online",11.6333716269113,"Yes","Slightly dissatisfied"
"45","In real life (in person)",11.6082356538655,"Yes","Slightly satisfied"
"46","In real life (in person)",11.6767435586886,"Yes","Slightly dissatisfied"
"47","In real life (in person)",11.0974100361601,"No","Slightly satisfied"
"48","Online",11.6082356538655,"No","Very dissatisfied"
"49","Online",12.3587937368397,"No","Very satisfied"
"50","In real life (in person)",NA,"No","Very satisfied"
"51","In real life (in person)",11.289781926156,"Yes","Very satisfied"
"52","Online",11.6952470300975,"Yes","Slightly satisfied"
"53","Online",NA,"No","Very dissatisfied"
"54","In real life (in person)",11.4075649604235,"Yes","Slightly satisfied"
"55","Online",11.385092104824,"No","Slightly satisfied"
"56","In real life (in person)",11.2989646356164,"Yes","Very satisfied"
"57","In real life (in person)",13.6693280489436,"Yes","Very satisfied"
"58","In real life (in person)",NA,"No","Neither satisfied nor dissatisfied"
"59","In real life (in person)",11.813030064828,"Yes","Neither satisfied nor dissatisfied"
"60","In real life (in person)",11.7199396424846,NA,"Very satisfied"
"61","In real life (in person)",14.137594057858,"Yes","Slightly satisfied"
"62","Online",11.77528973713,"Yes","Neither satisfied nor dissatisfied"
"63","Online",11.5129254749702,"Yes","Very satisfied"
"64","In real life (in person)",-6.90775527898214,"No","Very satisfied"
"65","Online",11.77528973713,"Yes","Slightly satisfied"
"66","In real life (in person)",11.652687416041,"Yes","Very satisfied"
"67","In real life (in person)",NA,"Yes","Very satisfied"
"68","In real life (in person)",11.8493977087343,"No","Very satisfied"
"69","In real life (in person)",11.982929100466,NA,"Very satisfied"
"70","Online",10.9150884823964,"No","Very dissatisfied"
"71","Online",11.3385720897302,"Yes","Very satisfied"
"72","In real life (in person)",8.7414799290439,"No","Slightly satisfied"
"73","In real life (in person)",11.8493977087343,NA,"Very satisfied"
"74","Online",11.5617156386635,"No","Neither satisfied nor dissatisfied"
"75","In real life (in person)",10.3089526939776,"No","Neither satisfied nor dissatisfied"
"76","Online",10.7789563107234,"No","Neither satisfied nor dissatisfied"
"77","In real life (in person)",9.10497996742946,"Yes","Slightly satisfied"
"78","Online",10.9150884823964,"Yes","Slightly satisfied"
"79","In real life (in person)",10.491274245216,"Yes","Slightly satisfied"
"80","In real life (in person)",10.9508065643605,"Yes","Slightly dissatisfied"
"81","Online",11.7360690242844,"No","Neither satisfied nor dissatisfied"
"82","In real life (in person)",NA,NA,"Very satisfied"
"83","In real life (in person)",11.9250351224196,"No","Very satisfied"
"84","In real life (in person)",10.9150884823964,"No","Slightly satisfied"
"85","Online",11.5129254749702,"Yes","Slightly satisfied"
"86","Online",NA,NA,"Slightly satisfied"
"87","In real life (in person)",11.8493977087343,"Yes","Very satisfied"
"88","In real life (in person)",11.635143106544,"Yes","Very satisfied"
"89","Online",NA,"Yes","Very satisfied"
"90","In real life (in person)",12.0137007589433,"No","Slightly satisfied"
"91","In real life (in person)",12.2222069114321,"Yes","Very satisfied"
"92","Online",11.813030064828,"Yes","Very satisfied"
"93","In real life (in person)",10.3089526939776,"No","Very satisfied"
"94","In real life (in person)",11.6784399119224,"No","Slightly satisfied"
"95","In real life (in person)",9.2873015057049,"Yes","Slightly satisfied"
"96","Online",11.9447078878893,"No","Slightly satisfied"
"97","In real life (in person)",11.4295438669007,"No","Slightly satisfied"
"98","In real life (in person)",11.77528973713,"No","Very dissatisfied"
"99","In real life (in person)",10.5966347580961,"No","Slightly dissatisfied"
"100","In real life (in person)",11.7360690242844,NA,"Slightly dissatisfied"
"101","Online",11.7360690242844,"Yes","Slightly satisfied"
"102","In real life (in person)",11.289781926156,"No","Neither satisfied nor dissatisfied"
"103","In real life (in person)",NA,"Yes","Very satisfied"
"104","In real life (in person)",15.1792314192188,"Yes","Very satisfied"
"105","In real life (in person)",NA,"Yes","Very satisfied"
"106","In real life (in person)",11.7829526098169,"No","Slightly satisfied"
"107","Online",NA,"No","Very satisfied"
"108","Online",11.3504065472372,"No","Slightly dissatisfied"
"109","In real life (in person)",11.6784399119224,"No","Very dissatisfied"
"110","Online",NA,"No","Slightly dissatisfied"
"111","In real life (in person)",15.9369171207805,"Yes","Very satisfied"
"112","In real life (in person)",9.25913063138371,"Yes","Neither satisfied nor dissatisfied"
"113","Online",11.4824662677948,"Yes","Very satisfied"
"114","In real life (in person)",11.7035458328433,"Yes","Slightly dissatisfied"
"115","In real life (in person)",10.9681983067699,"Yes","Slightly dissatisfied"
"116","Online",12.8992198285901,"Yes","Very dissatisfied"
"117","Online",12.1547793564058,"Yes","Slightly satisfied"
"118","In real life (in person)",10.7789563107234,"Yes","Very satisfied"
"119","Online",11.4075649604235,"No","Very satisfied"
"120","In real life (in person)",7.74066483669976,"Yes","Slightly satisfied"
"121","In real life (in person)",11.4075649604235,"Yes","Very satisfied"
"122","Online",10.910533487861,"No","Slightly satisfied"
"123","In real life (in person)",11.7360690242844,"No","Slightly satisfied"
"124","In real life (in person)",11.8844890282993,"No","Slightly dissatisfied"
"125","In real life (in person)",11.6082356538655,"Yes","Slightly satisfied"
"126","In real life (in person)",15.8033857281731,"No","Slightly satisfied"
"127","In real life (in person)",10.8874369515757,"Yes","Slightly satisfied"
"128","In real life (in person)",11.8493977087343,"Yes","Very satisfied"
"129","In real life (in person)",12.1007121354279,"No","Very satisfied"
"130","In real life (in person)",11.5521461877389,"Yes","Very satisfied"
"131","Online",10.9331069875744,"No","Slightly satisfied"
"132","Online",12.1547793564058,"Yes","Slightly satisfied"
"133","In real life (in person)",11.3265958988269,"No","Slightly satisfied"
"134","In real life (in person)",11.1913418546359,"No","Slightly satisfied"
"135","In real life (in person)",9.34136872210188,"Yes","Very satisfied"
"136","In real life (in person)",10.491274245216,"Yes","Slightly satisfied"
"137","Online",9.39266201210347,"Yes","Very satisfied"
"138","In real life (in person)",11.7360690242844,"Yes","Very satisfied"
"139","In real life (in person)",11.9183905797451,"Yes","Slightly satisfied"
"140","In real life (in person)",11.5617156386635,"No","Very dissatisfied"
"141","Online",11.6082356538655,"Yes","Slightly satisfied"
"142","Online",11.5129254749702,"Yes","Very satisfied"
"143","Online",11.3144745384415,"Yes","Very dissatisfied"
"144","In real life (in person)",11.8981878725636,"Yes","Neither satisfied nor dissatisfied"
"145","In real life (in person)",11.1562505353172,"No","Very satisfied"
"146","Online",12.2060726505302,"No","Slightly satisfied"
"147","In real life (in person)",11.0821425642624,"No","Neither satisfied nor dissatisfied"
"148","In real life (in person)",11.4075649604235,"Yes","Slightly satisfied"
"149","In real life (in person)",11.4075649604235,"No","Slightly satisfied"
"150","In real life (in person)",11.4824662677948,"Yes","Slightly dissatisfied"
"151","Online",11.7360690242844,"Yes","Slightly satisfied"
"152","In real life (in person)",NA,"Yes","Very satisfied"
"153","In real life (in person)",11.289781926156,"Yes","Very satisfied"
"154","In real life (in person)",10.687389941113,"No","Neither satisfied nor dissatisfied"
"155","Online",11.373663409131,"Yes","Very satisfied"
"156","In real life (in person)",11.2515607138228,"Yes","Very satisfied"
"157","Online",12.5245263802851,"Yes","Very satisfied"
"158","In real life (in person)",11.5424842769205,"No","Very satisfied"
"159","In real life (in person)",11.7156458846753,NA,"Slightly satisfied"
"160","In real life (in person)",NA,"No","Very satisfied"
"161","In real life (in person)",11.1272629988641,"Yes","Very satisfied"
"162","In real life (in person)",NA,"No","Slightly satisfied"
"163","Online",11.7360690242844,"Yes","Slightly satisfied"
"164","In real life (in person)",11.7035458328433,"No","Neither satisfied nor dissatisfied"
"165","In real life (in person)",12.3458345922532,"No","Slightly dissatisfied"
"166","Online",9.25230548888301,"Yes","Neither satisfied nor dissatisfied"
"167","In real life (in person)",11.289781926156,"Yes","Slightly dissatisfied"
"168","In real life (in person)",11.7360690242844,"Yes","Slightly satisfied"
"169","In real life (in person)",11.5129254749702,"Yes","Slightly satisfied"
"170","In real life (in person)",10.7339099557102,NA,"Slightly satisfied"
"171","In real life (in person)",NA,"No","Slightly dissatisfied"
"172","In real life (in person)",11.6952470300975,"Yes","Slightly satisfied"
"173","Online",12.3458345922532,"Yes","Very satisfied"
"174","Online",11.289781926156,"Yes","Slightly satisfied"
"175","In real life (in person)",12.3544926549588,"Yes","Slightly dissatisfied"
"176","In real life (in person)",NA,"Yes","Slightly satisfied"
"177","In real life (in person)",11.5521461877389,"Yes","Very dissatisfied"
"178","Online",NA,"Yes","Slightly satisfied"
"179","In real life (in person)",12.1281111094659,"Yes","Slightly satisfied"
"180","In real life (in person)",11.951180402353,"No","Very satisfied"
"181","Online",15.0812510108849,"No","Very satisfied"
"182","In real life (in person)",11.7239964431473,"Yes","Slightly dissatisfied"
"183","Online",10.7144177909747,"Yes","Slightly dissatisfied"
"184","Online",14.5856187801233,"No","Neither satisfied nor dissatisfied"
"185","Online",11.3144745384415,"Yes","Very satisfied"
"186","Online",NA,"Yes","Slightly satisfied"
"187","In real life (in person)",12.7938593132101,"Yes","Slightly satisfied"
"188","Online",NA,"No","Very satisfied"
"189","In real life (in person)",12.3883942064908,"No","Slightly satisfied"
"190","Online",NA,"Yes","Very satisfied"
"191","In real life (in person)",11.4510500718904,"Yes","Very dissatisfied"
"192","In real life (in person)",11.461632181109,"Yes","Slightly satisfied"
"193","In real life (in person)",NA,"Yes","Slightly satisfied"
"194","Online",11.3621025868636,"No","Slightly satisfied"
"195","In real life (in person)",11.4075649604235,"Yes","Very satisfied"
"196","Online",11.3022044460003,"Yes","Slightly dissatisfied"
"197","Online",11.8493977087343,"Yes","Very satisfied"
"198","Online",11.0974100361601,"No","Very dissatisfied"
"199","In real life (in person)",10.9150884823964,"Yes","Slightly satisfied"
"200","In real life (in person)",11.461632181109,"Yes","Slightly satisfied"
"201","In real life (in person)",14.2979367078259,"Yes","Slightly satisfied"
"202","In real life (in person)",11.3385720897302,"No","Very satisfied"
"203","Online",11.77528973713,"Yes","Very satisfied"
"204","Online",11.7360690242844,"Yes","Slightly satisfied"
"205","Online",11.1562505353172,"Yes","Slightly satisfied"
"206","In real life (in person)",11.7675676910957,"No","Slightly satisfied"
"207","In real life (in person)",12.3800259568553,"Yes","Neither satisfied nor dissatisfied"
"208","In real life (in person)",NA,"Yes","Slightly dissatisfied"
"209","Online",11.289781926156,"No","Very satisfied"
"210","In real life (in person)",11.951180402353,"No","Very dissatisfied"
"211","In real life (in person)",11.5424842769205,"No","Slightly satisfied"
"212","Online",11.0020998578709,"Yes","Slightly satisfied"
"213","Online",9.79812709243386,"Yes","Very dissatisfied"
"214","Online",11.4574127656108,"Yes","Slightly dissatisfied"
"215","In real life (in person)",11.4927227678568,"Yes","Slightly satisfied"
"216","In real life (in person)",12.2060726505302,"No","Slightly satisfied"
"217","In real life (in person)",NA,"No","Slightly dissatisfied"
"218","In real life (in person)",11.5617156386635,"Yes","Very satisfied"
"219","In real life (in person)",12.1007121354279,"Yes","Very satisfied"
"220","In real life (in person)",11.77528973713,"Yes","Very satisfied"
"221","In real life (in person)",11.8493977087343,"Yes","Very satisfied"
"222","In real life (in person)",NA,"Yes","Slightly satisfied"
"223","Online",11.8493977087343,"Yes","Very dissatisfied"
"224","In real life (in person)",NA,"Yes","Slightly satisfied"
"225","In real life (in person)",13.957010121106,"No","Very satisfied"
"226","In real life (in person)",12.4711812216965,"Yes","Slightly satisfied"
"227","In real life (in person)",11.6155151168281,"No","Very satisfied"
"228","In real life (in person)",12.0137007589433,"Yes","Slightly satisfied"
"229","In real life (in person)",12.3458345922532,"Yes","Very satisfied"
"230","In real life (in person)",11.6439537361486,"Yes","Slightly satisfied"
"231","Online",11.652687416041,"No","Very dissatisfied"
"232","In real life (in person)",11.6082356538655,"Yes","Very satisfied"
"233","In real life (in person)",11.9150516785018,"No","Slightly dissatisfied"
"234","Online",10.5966347580961,"Yes","Slightly dissatisfied"
"235","In real life (in person)",11.77528973713,"No","Very satisfied"
"236","In real life (in person)",11.5805841227898,"Yes","Very satisfied"
"237","In real life (in person)",12.4684369138438,"No","Very satisfied"
"238","Online",12.2480376713412,"No","Neither satisfied nor dissatisfied"
"239","In real life (in person)",NA,"Yes","Slightly dissatisfied"
"240","In real life (in person)",NA,"No","Slightly satisfied"
"241","In real life (in person)",12.1007121354279,"Yes","Very satisfied"
"242","In real life (in person)",11.9891596501778,"No","Slightly dissatisfied"
"243","In real life (in person)",11.461632181109,"No","Slightly satisfied"
"244","In real life (in person)",NA,"Yes","Very satisfied"
"245","In real life (in person)",NA,"Yes","Slightly dissatisfied"
"246","Online",11.6952470300975,"Yes","Very satisfied"
"247","Online",12.1547793564058,"Yes","Slightly satisfied"
"248","Online",11.7360690242844,"Yes","Very dissatisfied"
"249","Online",10.5511142439586,"Yes","Slightly satisfied"
"250","Online",11.77528973713,"Yes","Slightly satisfied"
"251","In real life (in person)",11.652687416041,"No","Slightly dissatisfied"
"252","Online",11.7597855507143,"Yes","Slightly satisfied"
"253","Online",8.88183644389303,"No","Very satisfied"
"254","In real life (in person)",11.6082356538655,"Yes","Slightly dissatisfied"
"255","In real life (in person)",11.6952470300975,"No","Very satisfied"
"256","In real life (in person)",11.7577600633147,"Yes","Slightly dissatisfied"
"257","Online",NA,"Yes","Slightly satisfied"
"258","Online",11.5617156386635,"No","Neither satisfied nor dissatisfied"
"259","Online",11.4927227678568,"Yes","Slightly satisfied"
"260","Online",11.2252434058518,"No","Slightly satisfied"
"261","In real life (in person)",NA,"Yes","Slightly dissatisfied"
"262","Online",11.5898865153656,"No","Slightly satisfied"
"263","Online",NA,"No","Slightly satisfied"
"264","Online",11.5548904955758,"Yes","Slightly satisfied"
"265","In real life (in person)",11.1562505353172,"Yes","Slightly satisfied"
"266","In real life (in person)",12.0951410904095,"No","Very satisfied"
"267","In real life (in person)",11.7199396424846,"No","Slightly dissatisfied"
"268","In real life (in person)",12.0839050172057,"Yes","Neither satisfied nor dissatisfied"
"269","Online",11.461632181109,"No","Slightly dissatisfied"
"270","In real life (in person)",17.5463550331187,"Yes","Slightly dissatisfied"
"271","In real life (in person)",10.391739706866,"Yes","Very satisfied"
"272","Online",11.5129254749702,"Yes","Slightly satisfied"
"273","Online",11.1124479132985,"Yes","Slightly satisfied"
"274","In real life (in person)",11.5617156386635,"Yes","Very dissatisfied"
"275","In real life (in person)",11.2118203856998,"No","Neither satisfied nor dissatisfied"
"276","Online",NA,"Yes","Very satisfied"
"277","Online",11.5617156386635,"Yes","Slightly satisfied"
"278","In real life (in person)",11.2252434058518,"Yes","Very satisfied"
"279","In real life (in person)",11.2252434058518,"Yes","Neither satisfied nor dissatisfied"
"280","Online",11.9576112926419,"Yes","Slightly satisfied"
"281","Online",11.9183905797451,"Yes","Slightly satisfied"
"282","In real life (in person)",12.2060726505302,"Yes","Slightly satisfied"
"283","Online",11.0186291595489,"No","Very satisfied"
"284","In real life (in person)",NA,"Yes","Neither satisfied nor dissatisfied"
"285","Online",11.951180402353,"No","Slightly dissatisfied"
"286","In real life (in person)",14.1288603778956,"Yes","Very dissatisfied"
"287","Online",11.289781926156,"No","Very satisfied"
"288","In real life (in person)",11.0020998578709,"Yes","Slightly satisfied"
"289","In real life (in person)",12.2060726505302,"Yes","Very satisfied"
"290","In real life (in person)",NA,"Yes",NA
"291","In real life (in person)",11.461632181109,"Yes","Slightly satisfied"
"292","In real life (in person)",11.5228758057244,"No","Slightly satisfied"
"293","Online",11.0821425642624,"Yes","Very satisfied"
"294","In real life (in person)",11.1562505353172,"Yes","Very dissatisfied"
"295","Online",11.6262541592058,"Yes","Neither satisfied nor dissatisfied"
"296","In real life (in person)",10.8967393440649,"Yes","Slightly satisfied"
"297","In real life (in person)",14.8690764910079,"No","Slightly dissatisfied"
"298","Online",15.0513980477438,"Yes","Very satisfied"
"299","Online",NA,"Yes","Very satisfied"
"300","In real life (in person)",11.6952470300975,"No","Slightly satisfied"
"301","In real life (in person)",13.6693280489436,"Yes","Very satisfied"
"302","In real life (in person)",12.0137007589433,"No","Slightly satisfied"
"303","Online",11.5548904955758,"Yes","Very satisfied"
"304","In real life (in person)",15.9975417425899,"No","Very satisfied"
"305","In real life (in person)",11.6082356538655,"Yes","Very dissatisfied"
"306","In real life (in person)",11.461632181109,"Yes","Slightly satisfied"
"307","In real life (in person)",12.0435537219148,"No","Very satisfied"
"308","Online",NA,"Yes","Very satisfied"
"309","In real life (in person)",NA,"No","Slightly dissatisfied"
"310","Online",9.79812709243386,"Yes","Slightly dissatisfied"
"311","In real life (in person)",11.4295438669007,"Yes","Neither satisfied nor dissatisfied"
"312","In real life (in person)",12.2060726505302,"No","Slightly satisfied"
"313","Online",15.4467107842931,"No","Very satisfied"
"314","Online",NA,"No","Slightly dissatisfied"
"315","In real life (in person)",13.7746885644857,"Yes","Slightly satisfied"
"316","Online",11.6439537361486,"Yes","Neither satisfied nor dissatisfied"
"317","Online",NA,"Yes","Very satisfied"
"318","In real life (in person)",NA,"Yes","Neither satisfied nor dissatisfied"
"319","In real life (in person)",11.6952470300975,"No","Slightly satisfied"
"320","In real life (in person)",11.6952470300975,"Yes","Slightly satisfied"
"321","In real life (in person)",11.4295438669007,NA,"Very satisfied"
"322","In real life (in person)",11.461632181109,"No","Slightly satisfied"
"323","In real life (in person)",11.8844890282993,"No","Very satisfied"
"324","In real life (in person)",11.5711943825282,"Yes","Slightly dissatisfied"
"325","In real life (in person)",NA,"Yes","Slightly satisfied"
"326","In real life (in person)",11.982929100466,"No","Very satisfied"
"327","Online",12.1007121354279,"Yes","Very satisfied"
"328","Online",NA,"Yes","Slightly satisfied"
"329","In real life (in person)",12.0137007589433,"Yes","Very satisfied"
"330","In real life (in person)",14.8690764910079,"Yes","Slightly satisfied"
"331","In real life (in person)",11.8913619075398,"Yes","Slightly satisfied"
"332","In real life (in person)",11.8493977087343,"Yes","Very satisfied"
"333","In real life (in person)",11.9183905797451,"No","Slightly satisfied"
"334","In real life (in person)",12.323855685631,"Yes","Slightly dissatisfied"
"335","In real life (in person)",11.4295438669007,"Yes","Very satisfied"
"336","Online",NA,"No","Very satisfied"
"337","In real life (in person)",12.8992198285901,"Yes","Very satisfied"
"338","In real life (in person)",11.6601637462658,"No","Neither satisfied nor dissatisfied"
"339","In real life (in person)",10.4632747829173,"No","Slightly dissatisfied"
"340","In real life (in person)",12.30138282988,"No","Slightly dissatisfied"
"341","In real life (in person)",11.9183905797451,"No","Very satisfied"
"342","In real life (in person)",11.5129254749702,"Yes","Very satisfied"
"343","In real life (in person)",NA,"No","Slightly satisfied"
"344","In real life (in person)",11.6952470300975,"Yes","Very satisfied"
"345","In real life (in person)",NA,"No","Very satisfied"
"346","Online",11.4075649604235,"No","Slightly satisfied"
"347","In real life (in person)",11.0666383779668,"No","Very satisfied"
"348","In real life (in person)",11.5852461358522,"No","Very satisfied"
"349","In real life (in person)",NA,"Yes","Very satisfied"
"350","Online",NA,"No","Neither satisfied nor dissatisfied"
"351","In real life (in person)",11.9183905797451,"No","Slightly satisfied"
"352","Online",11.4295438669007,"Yes","Very satisfied"
"353","Online",11.4075649604235,"No","Very satisfied"
"354","In real life (in person)",11.3144745384415,"Yes","Very satisfied"
"355","Online",NA,NA,"Very satisfied"
"356","In real life (in person)",11.652687416041,"Yes","Slightly dissatisfied"
"357","In real life (in person)",NA,"Yes","Slightly satisfied"
"358","In real life (in person)",12.7656884363227,"Yes","Very satisfied"
"359","In real life (in person)",13.4870064923811,"No","Slightly satisfied"
"360","In real life (in person)",9.39266201210347,"Yes","Slightly satisfied"
"361","In real life (in person)",NA,"Yes","Very satisfied"
"362","In real life (in person)",11.7360690242844,"Yes","Slightly satisfied"
"363","In real life (in person)",NA,"Yes","Slightly satisfied"
"364","In real life (in person)",11.7360690242844,"Yes","Very satisfied"
"365","Online",11.3385720897302,"No","Slightly dissatisfied"
"366","In real life (in person)",11.3963916599502,"Yes","Very satisfied"
"367","In real life (in person)",12.4292162008444,"Yes","Slightly satisfied"
"368","In real life (in person)",15.7292777560299,"No","Very dissatisfied"
"369","In real life (in person)",9.43348400329039,"Yes","Very satisfied"
"370","In real life (in person)",10.1811193270132,"No","Slightly dissatisfied"
"371","Online",9.8626656100992,"No","Slightly satisfied"
"372","In real life (in person)",7.27239908701425,"Yes","Very dissatisfied"
"373","In real life (in person)",NA,"Yes","Very satisfied"
"374","In real life (in person)",NA,"No","Very satisfied"
"375","Online",NA,"No","Very satisfied"
"376","In real life (in person)",11.3144745384415,"No","Very satisfied"
"377","Online",12.0435537219148,"No","Slightly satisfied"
"378","Online",11.5898865153656,"Yes","Very satisfied"
"379","Online",11.3504065472372,"Yes","Slightly satisfied"
"380","In real life (in person)",11.6952470300975,"No","Very satisfied"
"381","In real life (in person)",11.951180402353,"No","Very satisfied"
"382","Online",11.5129254749702,"No","Very satisfied"
"383","In real life (in person)",11.1418617980721,"Yes","Slightly satisfied"
"384","In real life (in person)",11.3265958988269,"Yes","Very satisfied"
"385","In real life (in person)",11.8493977087343,"Yes","Slightly dissatisfied"
"386","Online",NA,"No","Very satisfied"
"387","In real life (in person)",13.7746885644857,"Yes","Slightly dissatisfied"
"388","In real life (in person)",11.0186291595489,"No","Slightly satisfied"
"389","In real life (in person)",12.1007121354279,"Yes","Very satisfied"
"390","In real life (in person)",12.0010698082107,"No","Very satisfied"
"391","In real life (in person)",11.5129254749702,"No","Neither satisfied nor dissatisfied"
"392","In real life (in person)",11.5617156386635,"Yes","Very satisfied"
"393","In real life (in person)",11.951180402353,"Yes","Neither satisfied nor dissatisfied"
"394","In real life (in person)",11.652687416041,"No","Slightly dissatisfied"
"395","In real life (in person)",NA,"No","Very satisfied"
"396","In real life (in person)",NA,"Yes","Neither satisfied nor dissatisfied"
"397","In real life (in person)",11.5129254749702,"Yes","Slightly satisfied"
"398","In real life (in person)",12.2060726505302,"Yes","Very satisfied"
"399","In real life (in person)",NA,"Yes","Very satisfied"
"400","Online",NA,NA,"Very satisfied"
"401","Online",11.3504065472372,"Yes","Slightly satisfied"
"402","In real life (in person)",12.2060726505302,"Yes","Very satisfied"
"403","Online",11.982929100466,"Yes","Very satisfied"
"404","In real life (in person)",NA,"Yes","Very dissatisfied"
"405","In real life (in person)",12.218495170467,"No","Slightly dissatisfied"
"406","In real life (in person)",11.813030064828,"Yes","Neither satisfied nor dissatisfied"
"407","In real life (in person)",11.2252434058518,"No","Slightly satisfied"
"408","In real life (in person)",11.2644641184922,"No","Very satisfied"
"409","In real life (in person)",11.3504065472372,"Yes","Neither satisfied nor dissatisfied"
"410","In real life (in person)",11.77528973713,"No","Very satisfied"
"411","In real life (in person)",11.0508900212467,"No","Slightly satisfied"
"412","In real life (in person)",11.5129254749702,"Yes","Neither satisfied nor dissatisfied"
"413","In real life (in person)",12.0137007589433,"Yes","Very satisfied"
"414","In real life (in person)",11.982929100466,"No","Very satisfied"
"415","In real life (in person)",NA,NA,"Slightly satisfied"
"416","Online",11.2252434058518,"Yes","Very satisfied"
"417","In real life (in person)",NA,"Yes","Very satisfied"
"418","Online",11.5617156386635,"Yes","Very satisfied"
"419","Online",-6.90775527898214,"No",NA
"420","In real life (in person)",11.813030064828,"Yes","Very dissatisfied"
"421","Online",11.1844214118871,"Yes","Slightly satisfied"
"422","In real life (in person)",11.3963916599502,"No","Slightly dissatisfied"
"423","Online",NA,"No","Slightly dissatisfied"
"424","Online",11.7360690242844,"No","Very dissatisfied"
"425","Online",11.1982155557466,"Yes","Very dissatisfied"
"426","In real life (in person)",11.5617156386635,"No","Slightly dissatisfied"
"427","In real life (in person)",NA,"Yes","Very satisfied"
"428","Online",11.0020998578709,"No","Slightly satisfied"
"429","In real life (in person)",11.9183905797451,"Yes","Slightly satisfied"
"430","Online",11.0020998578709,"Yes","Very satisfied"
"431","In real life (in person)",NA,"Yes","Very satisfied"
"432","In real life (in person)",11.5129254749702,"Yes","Very dissatisfied"
"433","In real life (in person)",NA,"Yes","Slightly satisfied"
"434","In real life (in person)",11.7905572091443,"No","Slightly dissatisfied"
"435","Online",NA,"No","Very satisfied"
"436","Online",NA,"No","Slightly satisfied"
"437","Online",15.7292777560299,"Yes","Slightly satisfied"
"438","In real life (in person)",15.1384094247092,"Yes","Very satisfied"
"439","Online",11.6952470300975,"No","Slightly satisfied"
"440","In real life (in person)",11.5805841227898,"Yes","Very satisfied"
"441","In real life (in person)",11.4721034808666,"Yes","Slightly satisfied"
"442","In real life (in person)",11.5327281020703,"Yes","Slightly satisfied"
"443","In real life (in person)",12.706847936473,"Yes","Very satisfied"
"444","In real life (in person)",12.1547793564058,"Yes","Very satisfied"
"445","In real life (in person)",11.4824662677948,"Yes","Slightly satisfied"
"446","Online",11.5617156386635,"No","Very satisfied"
"447","In real life (in person)",NA,"Yes","Slightly satisfied"
"448","In real life (in person)",15.0361305756175,"Yes","Very satisfied"
"449","In real life (in person)",11.2118203856998,"No","Neither satisfied nor dissatisfied"
"450","In real life (in person)",12.1547793564058,"No","Slightly dissatisfied"
"451","In real life (in person)",11.2252434058518,"Yes","Slightly dissatisfied"
"452","In real life (in person)",11.3504065472372,"Yes","Very satisfied"
"453","In real life (in person)",11.6952470300975,"Yes","Very satisfied"
"454","Online",11.1272629988641,"Yes","Slightly satisfied"
